,datum,Country,te laat,afstand,ISO 3166 Country Code,Latitude,Longitude,uur,minuut,seconde
0,Herfst,Albania,green,1113039.6001869675,AL,41.0,20.0,1.2367106668744083,14.202640012464501,12.158400747870095
1,Herfst,Algeria,orange,1274685.7038671384,DZ,28.0,3.0,1.4163174487412649,24.97904692447589,58.74281546855345
2,Herfst,Argentina,green,11298004.45794462,AR,-34.0,-64.0,12.553338286605134,33.20029719630803,12.017831778481602
3,Herfst,Armenia,green,2967629.6891342816,AM,40.0,45.0,3.297366321260313,17.841979275618773,50.51875653712638
4,Herfst,Austria,green,488686.7493221655,AT,47.33,13.33,0.5429852770246283,32.5791166214777,34.74699728866201
5,Herfst,Azerbaijan,green,3377098.321473563,AZ,40.5,47.5,3.752331468303959,45.13988809823754,8.39328589425236
6,Herfst,Bahrain,green,4352258.874860729,BH,26.0,50.55,4.835843194289699,50.15059165738194,9.035499442916363
7,Herfst,Belgium,green,483467.9115186502,BE,50.83,4.0,0.5371865683540558,32.23119410124335,13.87164607460075
8,Herfst,Bosnia and Herzegovina,red,859087.1139888838,BA,44.0,18.0,0.9545412377654264,57.27247426592559,16.348455955535172
9,Herfst,Brazil,green,9468399.434676254,BR,-10.0,-55.0,10.52044381630695,31.226628978416944,13.597738705016672
10,Herfst,Bulgaria,green,1481705.6081898226,BG,43.0,25.0,1.6463395646553585,38.78037387932151,46.822432759290564
11,Herfst,Canada,green,7242794.941195089,CA,60.0,-95.0,8.04754993466121,2.8529960796726246,51.17976478035748
12,Herfst,China,orange,8563324.004993368,CN,35.0,105.0,9.514804449992631,30.888266999557864,53.29601997347176
13,Herfst,Costa Rica,green,9404282.310312688,CR,10.0,-84.0,10.449202567014098,26.95215402084589,57.1292412507534
14,Herfst,Croatia,green,704895.3891906394,HR,45.17,15.5,0.7832170991007104,46.99302594604262,59.581556762557476
15,Herfst,Cuba,orange,8193876.774654916,CU,21.5,-80.0,9.10430752739435,6.258451643661037,15.507098619662225
16,Herfst,Cyprus,green,2475786.283874824,CY,35.0,33.0,2.7508736487498044,45.05241892498828,3.14513549929671
17,Herfst,Denmark,green,955088.9115066222,DK,56.0,10.0,1.0612099016740246,3.672594100441481,40.355646026488856
18,Herfst,Dominican Republic,green,7535250.384196141,DO,19.0,-70.67,8.372500426884601,22.350025613076053,21.001536784563214
19,Herfst,Egypt,green,3086053.3544363775,EG,27.0,30.0,3.428948171595975,25.736890295758503,44.213417745510114
20,Herfst,Finland,green,2133432.893956224,FI,64.0,26.0,2.3704809932846933,22.2288595970816,13.731575824895874
21,Herfst,France,green,547807.3580517637,FR,46.0,2.0,0.6086748422797374,36.52049053678425,31.229432207054924
22,Herfst,Georgia,green,2934291.796364896,GE,42.0,43.5,3.260324218183218,15.619453090993067,37.167185459584
23,Herfst,Germany,green,514583.96355453366,DE,51.0,9.0,0.5717599595050374,34.30559757030225,18.335854218134656
24,Herfst,Greece,green,1696215.466557723,GR,39.0,22.0,1.8846838517308033,53.0810311038482,4.8618662308920175
25,Herfst,Hong Kong,green,9295880.72073311,HK,22.25,114.17,10.328756356370121,19.725381382207324,43.522882932439444
26,Herfst,Hungary,green,895252.9865108244,HU,47.0,20.0,0.9947255405675827,59.68353243405496,41.01194604329765
27,Herfst,Iceland,orange,2522813.8368368717,IS,65.0,-18.0,2.803126485374302,48.187589122458114,11.255347347486763
28,Herfst,India,green,6538556.165534215,IN,20.0,77.0,7.265062406149128,15.90374436894767,54.22466213686019
29,Herfst,Ireland,green,1279789.6051396641,IE,53.0,-8.0,1.4219884501551823,25.319307009310943,19.158420558656566
30,Herfst,Israel,green,2897328.4501050017,IL,31.5,34.75,3.219253833450002,13.155230007000112,9.313800420006737
31,Herfst,Italy,green,722834.264987828,IT,42.83,12.83,0.8031491833198089,48.188950999188535,11.33705995131191
32,Herfst,Japan,green,9557975.818554452,JP,36.0,138.0,10.619973131727168,37.19838790363011,11.903274217806757
33,Herfst,Jordan,green,2908799.77707359,JO,31.0,36.0,3.231999752303989,13.919985138239339,55.19910829436034
34,Herfst,Kenya,green,6068289.6625828,KE,1.0,38.0,6.742544069536444,44.55264417218665,33.15865033119917
35,Herfst,Latvia,green,1483410.208075181,LV,57.0,25.0,1.648233564527979,38.894013871678744,53.64083230072446
36,Herfst,Lebanon,green,2714411.894743943,LB,33.83,35.83,3.016013216382159,0.9607929829295414,57.64757897577248
37,Herfst,Luxembourg,green,295929.1877591087,LU,49.75,6.17,0.3288102086212319,19.728612517273916,43.7167510364349
38,Herfst,Macedonia,green,1197848.0930531668,MK,41.83,22.0,1.3309423256146298,19.856539536877783,51.39237221266702
39,Herfst,Maldives,green,7802501.030330505,MV,3.25,73.0,8.669445589256117,40.16673535536702,10.004121322020888
40,Herfst,Malta,orange,1379443.389275949,MT,35.83,14.58,1.5327148769732766,31.962892618396598,57.77355710379593
41,Herfst,Mauritius,green,8979741.05680707,MU,-20.28,57.55,9.977490063118966,58.64940378713794,38.96422722827643
