,Name,Latitude,Longitude,datum,afstand,te laat,uur,minuut,seconde
0,Egilsstaðir Airport,65.28330231,-14.40139961,Herfst,2408761.87226008,orange,2.676402080288978,40.584124817338676,35.04748904032074
1,Egilsstaðir Airport,65.28330231,-14.40139961,Lente,2408761.87226008,orange,2.676402080288978,40.584124817338676,35.04748904032074
2,Egilsstaðir Airport,65.28330231,-14.40139961,Winter,2408761.87226008,orange,2.676402080288978,40.584124817338676,35.04748904032074
3,Egilsstaðir Airport,65.28330231,-14.40139961,Zomer,2408761.87226008,orange,2.676402080288978,40.584124817338676,35.04748904032074
2924,Keflavik International Airport,63.98500061,-22.60560036,Herfst,2636865.8014136627,orange,2.929850890459625,55.791053427577516,47.46320565465093
2925,Keflavik International Airport,63.98500061,-22.60560036,Lente,2636865.8014136627,orange,2.929850890459625,55.791053427577516,47.46320565465093
2926,Keflavik International Airport,63.98500061,-22.60560036,Winter,2636865.8014136627,orange,2.929850890459625,55.791053427577516,47.46320565465093
2927,Keflavik International Airport,63.98500061,-22.60560036,Zomer,2636865.8014136627,orange,2.929850890459625,55.791053427577516,47.46320565465093
5848,Edmonton International Airport,53.30970001,-113.5800018,Herfst,7574334.296069316,green,8.415926995632573,24.955619737954375,57.33718427726254
5849,Edmonton International Airport,53.30970001,-113.5800018,Lente,7574334.296069316,orange,8.415926995632573,24.955619737954375,57.33718427726254
5850,Edmonton International Airport,53.30970001,-113.5800018,Winter,7574334.296069316,orange,8.415926995632573,24.955619737954375,57.33718427726254
5851,Edmonton International Airport,53.30970001,-113.5800018,Zomer,7574334.296069316,orange,8.415926995632573,24.955619737954375,57.33718427726254
15592,Montreal / Pierre Elliott Trudeau International Airport,45.47060013,-73.74079895,Herfst,6012891.862631329,green,6.680990958479255,40.85945750875529,51.56745052531734
15593,Montreal / Pierre Elliott Trudeau International Airport,45.47060013,-73.74079895,Lente,6012891.862631329,orange,6.680990958479255,40.85945750875529,51.56745052531734
15594,Montreal / Pierre Elliott Trudeau International Airport,45.47060013,-73.74079895,Winter,6012891.862631329,orange,6.680990958479255,40.85945750875529,51.56745052531734
15595,Montreal / Pierre Elliott Trudeau International Airport,45.47060013,-73.74079895,Zomer,6012891.86263133,orange,6.6809909584792555,40.85945750875535,51.567450525321064
25336,Vancouver International Airport,49.19390106,-123.1839981,Herfst,8331972.639856069,green,9.257747377617855,15.46484265707129,27.890559424277395
25337,Vancouver International Airport,49.19390106,-123.1839981,Lente,8331972.639856069,orange,9.257747377617855,15.46484265707129,27.890559424277395
25338,Vancouver International Airport,49.19390106,-123.1839981,Winter,8331972.639856069,orange,9.257747377617855,15.46484265707129,27.890559424277395
25339,Vancouver International Airport,49.19390106,-123.1839981,Zomer,8331972.63985607,orange,9.257747377617855,15.464842657071353,27.890559424281122
